Date,HS-VaR,AWHS-VaR
2007-11-20 00:00:00-05:00,-0.05702093383225881,-0.042393291565958835
2007-11-21 00:00:00-05:00,-0.05702093383225881,-0.042393291565958835
2007-11-23 00:00:00-05:00,-0.05702093383225881,-0.042393291565958835
2007-11-26 00:00:00-05:00,-0.05702093383225881,-0.03991647411013444
2007-11-27 00:00:00-05:00,-0.05702093383225881,-0.03991647411013444
2007-11-28 00:00:00-05:00,-0.05702093383225881,-0.03991647411013444
2007-11-29 00:00:00-05:00,-0.05702093383225881,-0.03991647411013444
2007-11-30 00:00:00-05:00,-0.05702093383225881,-0.03991647411013444
2007-12-03 00:00:00-05:00,-0.05702093383225881,-0.03991647411013444
2007-12-04 00:00:00-05:00,-0.05702093383225881,-0.03991647411013444
2007-12-05 00:00:00-05:00,-0.05702093383225881,-0.03991647411013444
2007-12-06 00:00:00-05:00,-0.05702093383225881,-0.03991647411013444
2007-12-07 00:00:00-05:00,-0.05702093383225881,-0.03991647411013444
2007-12-10 00:00:00-05:00,-0.05702093383225881,-0.03991647411013444
2007-12-11 00:00:00-05:00,-0.05702093383225881,-0.03991647411013444
2007-12-12 00:00:00-05:00,-0.05702093383225881,-0.03991647411013444
2007-12-13 00:00:00-05:00,-0.05702093383225881,-0.03588042781711043
2007-12-14 00:00:00-05:00,-0.05702093383225881,-0.03588042781711043
2007-12-17 00:00:00-05:00,-0.05702093383225881,-0.03588042781711043
2007-12-18 00:00:00-05:00,-0.05702093383225881,-0.03588042781711043
2007-12-19 00:00:00-05:00,-0.05702093383225881,-0.03588042781711043
2007-12-20 00:00:00-05:00,-0.05702093383225881,-0.03588042781711043
2007-12-21 00:00:00-05:00,-0.05702093383225881,-0.03588042781711043
2007-12-24 00:00:00-05:00,-0.05702093383225881,-0.03588042781711043
2007-12-26 00:00:00-05:00,-0.05702093383225881,-0.035518551386734765
2007-12-27 00:00:00-05:00,-0.05702093383225881,-0.035518551386734765
2007-12-28 00:00:00-05:00,-0.05702093383225881,-0.035518551386734765
2007-12-31 00:00:00-05:00,-0.05702093383225881,-0.035518551386734765
2008-01-02 00:00:00-05:00,-0.05702093383225881,-0.035518551386734765
2008-01-03 00:00:00-05:00,-0.05702093383225881,-0.035518551386734765
2008-01-04 00:00:00-05:00,-0.05702093383225881,-0.035518551386734765
2008-01-07 00:00:00-05:00,-0.05702093383225881,-0.031210569808530653
2008-01-08 00:00:00-05:00,-0.05702093383225881,-0.039670656603584376
2008-01-09 00:00:00-05:00,-0.05702093383225881,-0.039670656603584376
2008-01-10 00:00:00-05:00,-0.05702093383225881,-0.039670656603584376
2008-01-11 00:00:00-05:00,-0.05702093383225881,-0.039670656603584376
2008-01-14 00:00:00-05:00,-0.05702093383225881,-0.039670656603584376
2008-01-15 00:00:00-05:00,-0.05702093383225881,-0.042393291565958835
2008-01-16 00:00:00-05:00,-0.05702093383225881,-0.042393291565958835
2008-01-17 00:00:00-05:00,-0.05702093383225881,-0.03991647411013444
2008-01-18 00:00:00-05:00,-0.05702093383225881,-0.03991647411013444
2008-01-22 00:00:00-05:00,-0.05702093383225881,-0.03991647411013444
2008-01-23 00:00:00-05:00,-0.05702093383225881,-0.039670656603584376
2008-01-24 00:00:00-05:00,-0.05702093383225881,-0.039670656603584376
2008-01-25 00:00:00-05:00,-0.05702093383225881,-0.039670656603584376
2008-01-28 00:00:00-05:00,-0.05702093383225881,-0.039670656603584376
2008-01-29 00:00:00-05:00,-0.05702093383225881,-0.039670656603584376
2008-01-30 00:00:00-05:00,-0.05702093383225881,-0.039670656603584376
2008-01-31 00:00:00-05:00,-0.05702093383225881,-0.039670656603584376
2008-02-01 00:00:00-05:00,-0.05702093383225881,-0.039670656603584376
2008-02-04 00:00:00-05:00,-0.05702093383225881,-0.042073040556455665
2008-02-05 00:00:00-05:00,-0.05702093383225881,-0.05041118949255119
2008-02-06 00:00:00-05:00,-0.05702093383225881,-0.05041118949255119
2008-02-07 00:00:00-05:00,-0.05702093383225881,-0.05041118949255119
2008-02-08 00:00:00-05:00,-0.05702093383225881,-0.05041118949255119
2008-02-11 00:00:00-05:00,-0.05702093383225881,-0.05041118949255119
2008-02-12 00:00:00-05:00,-0.05702093383225881,-0.05041118949255119
2008-02-13 00:00:00-05:00,-0.05702093383225881,-0.05041118949255119
2008-02-14 00:00:00-05:00,-0.05702093383225881,-0.05041118949255119
2008-02-15 00:00:00-05:00,-0.05702093383225881,-0.042393291565958835
2008-02-19 00:00:00-05:00,-0.05702093383225881,-0.042073040556455665
2008-02-20 00:00:00-05:00,-0.05702093383225881,-0.042073040556455665
